ville,codePostal,region,praticienne,adresseLigne1,adresseLigne2,telephone,telephoneAffiche,email,doctolibUrl,horaire1Jours,horaire1Heures,horaire2Jours,horaire2Heures,horaire3Jours,horaire3Heures,horaire4Jours,horaire4Heures
Montdidier,80500,Hauts-de-France,Jennifer Loisel,1 Place Faidherbe,80500 Montdidier,806110504,0 806 11 05 04,montdidier-80@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/montdidier/relais-vision-montdidier,Lun - Mer,9h00 - 18h00,Jeudi,Fermé,Vendredi,9h00 - 18h00,Sam - Dim,Fermé
Carvin,62220,Hauts-de-France,Morgane Devos,72 Rue Salvador Allende,62220 Carvin,806110504,0 806 11 05 04,carvin-62@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/carvin/relais-vision-carvin,Lun - Jeu,9h00 - 12h30 / 13h30 - 19h00,Ven - Dim,Fermé,,,,
Ars-Laquenexy,57530,Grand Est,Alix Lamielle,2A Rue du Jardin d'Ecosse,57530 Ars-Laquenexy,387767253,03 87 76 72 53,ars-laquenexy-57@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/ars-laquenexy/relais-vision-ars-laquenexy,Lun / Mar / Jeu / Ven,8h30 - 12h30 / 13h30 - 18h00,Mer / Sam / Dim,Fermé,,,,
Saint-Quentin,2100,Hauts-de-France,Perrine Normand / Priscille Levent,36 Boulevard Henri Martin,02100 Saint-Quentin,806110504,0 806 11 05 04,saint-quentin-02@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/saint-quentin/relais-vision-saint-quentin,Lun - Ven,8h30 - 18h30,Sam - Dim,Fermé,,,,
Lorient,56100,Bretagne,Noémie Flageul / Manon Marteau / Blanche Vaugier,5 Rue Simone Signoret,56100 Lorient,806110504,0 806 11 05 04,lorient-56@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/lorient/relais-vision-lorient,Lun - Ven,9h00 - 19h00,Samedi,9h00 - 16h30,Dimanche,Fermé,,
Chinon,37500,Centre-Val de Loire,Mickaël Faget / Marie Perrin,18 Avenue Saint-Lazare,37500 Chinon,806110504,0 806 11 05 04,chinon-37@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/chinon/relais-vision-chinon,Lun / Mar / Mer / Ven,Ouvert toute la journée,Jeu / Sam / Dim,Fermé,,,,
Roanne,42300,Auvergne-Rhône-Alpes,Clio Groppi-Chazelle / Anne Vigne,526 Chemin de la Tuilerie,42300 Roanne,477718430,04 77 71 84 30,roanne-42@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/roanne/relais-vision-roanne,Lun / Mar / Jeu / Ven,8h15 - 17h30,Mercredi,8h00 - 16h00,Sam - Dim,Fermé,,
Châteauneuf-sur-Isère,26300,Auvergne-Rhône-Alpes,Romane Bismuth ,3 Rue De L'école,26300 Châteauneuf-sur-Isère,806110504,0 806 11 05 04,chateauneuf-sur-isere-26@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/chateauneuf-sur-isere/relais-vision-chateauneuf-sur-isere,,,,,,,,
Bury,60250,Hauts-de-France,Fanny Kasznik ,262 Rue Herminie,60250 Bury,806110504,0 806 11 05 04,bury-60@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/bury/relais-vision-bury,,,,,,,,
Vagney,88120,Grand Est,Amélia Vincent ,22 bis rue d'Ouffet,88120 Vagney,806110504,0 806 11 05 04,vagney-88@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/vagney/relais-vision-vagney,,,,,,,,
Tournon-sur-Rhône,7300,Auvergne-Rhône-Alpes,Anaïs Deygas-Burato ,58 Rue Antoine Sartorio,07300 Tournon-sur-Rhône,806110504,0 806 11 05 04,tournon-sur-rhone-07@relais-vision.fr,https://www.doctolib.fr/cabinet-paramedical/tournon-sur-rhone/relais-vision-tournon-sur-rhone,,,,,,,,
